#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00579,0,0,0,0,0,0,10.8652
HG00580,0,0,0,0,0,0,19.174
HG00581,0,0,0,0,0,0,20.9118
HG00582,0,0,0,0,0,0,23.7678
HG00583,0,0,0,0,0,0,16.318
HG00584,0,0,0,0,0,0,26.1484
HG00585,0,0,0,0,0,0,34.4571
HG00589,0,0,0,0,0,0,10.8652
HG00590,0,0,0,0,0,0,21.5212
HG00591,0,0,0,0,0,0,16.318
HG00592,0,0,0,0,0,0,21.7805
HG00593,0,0,0,0,0,0,6.86062
HG00594,0,0,0,0,0,0,12.3231
HG00595,0,0,0,0,0,0,13.7212
HG00596,0,0,0,0,0,0,8.00917
HG00597,0,0,0,0,0,0,10.8652
HG00598,0,0,0,0,0,0,16.0782
HG00599,0,0,0,0,0,0,18.9244
HG00607,0,0,0,0,0,0,10.8652
HG00608,0,0,0,0,0,0,10.6157
HG00609,0,0,0,0,0,0,10.6157
HG00610,0,0,0,0,0,0,12.3134
HG00611,0,0,0,0,0,0,16.0684
HG00612,0,0,0,0,0,0,8.00917
HG00613,0,0,0,0,0,0,12.603
HG00614,0,0,0,0,0,0,14.9101
HG00615,0,0,0,0,0,0,9.45733
HG00619,0,0,0,0,0,0,10.8652
HG00620,0,0,0,0,0,0,10.8652
HG00621,0,0,0,0,0,0,8.00917
HG00622,0,0,0,0,0,0,20.6956
HG00623,0,0,0,0,0,0,8.05924
HG00625,0,0,0,0,0,0,5.45275
HG00626,0,0,0,0,0,0,13.4717
HG00627,0,0,0,0,0,0,6.61107
HG00628,0,0,0,0,0,0,13.4619
HG00629,0,0,0,0,0,0,14.9199
HG00630,0,0,0,0,0,0,16.0684
HG00631,0,0,0,0,0,0,16.318
HG00632,0,0,0,0,0,0,8.00917
HG00634,0,0,0,0,0,0,21.5212
HG00635,0,0,0,0,0,0,12.603
HG00636,0,0,0,0,0,0,16.0684
HG00637,0,0,0,1.78141,0,0,21.0839
HG00638,0,0,0,1.78141,0,0,25.4615
HG00639,0,0,0,0,0,0,20.6956
HG00640,0,0,0,0,0,0,8.00917
HG00641,0,0,0,0,0,0,22.36
HG00642,0,0,0,0,0,0,9.45733
HG00650,0,0,0,0,0,0,13.4619
HG00651,0,0,0,0,0,0,10.8652
